city,code,crime_desc,mapping
atlanta,A110,HOMICIDE,Killing
atlanta,A120,MANSLAUGHTER,Killing
atlanta,A311,ROBBERY-PEDESTRIAN,Robbery
atlanta,A312,ROBBERY-COMMERCIAL,Robbery
atlanta,A313,ROBBERY-COMMERCIAL,Robbery
atlanta,A314,ROBBERY-COMMERCIAL,Robbery
atlanta,A315,ROBBERY-RESIDENCE,Robbery
atlanta,A316,ROBBERY-COMMERCIAL,Robbery
atlanta,A317,ROBBERY-PEDESTRIAN,Robbery
atlanta,A321,ROBBERY-PEDESTRIAN,Robbery
atlanta,A322,ROBBERY-COMMERCIAL,Robbery
atlanta,A323,ROBBERY-COMMERCIAL,Robbery
atlanta,A324,ROBBERY-COMMERCIAL,Robbery
atlanta,A325,ROBBERY-RESIDENCE,Robbery
atlanta,A326,ROBBERY-COMMERCIAL,Robbery
atlanta,A327,ROBBERY-PEDESTRIAN,Robbery
atlanta,A331,ROBBERY-PEDESTRIAN,Robbery
atlanta,A332,ROBBERY-COMMERCIAL,Robbery
atlanta,A333,ROBBERY-COMMERCIAL,Robbery
atlanta,A334,ROBBERY-COMMERCIAL,Robbery
atlanta,A335,ROBBERY-RESIDENCE,Robbery
atlanta,A336,ROBBERY-COMMERCIAL,Robbery
atlanta,A337,ROBBERY-PEDESTRIAN,Robbery
atlanta,A341,ROBBERY-PEDESTRIAN,Robbery
atlanta,A342,ROBBERY-COMMERCIAL,Robbery
atlanta,A343,ROBBERY-COMMERCIAL,Robbery
atlanta,A344,ROBBERY-COMMERCIAL,Robbery
atlanta,A345,ROBBERY-RESIDENCE,Robbery
atlanta,A346,ROBBERY-COMMERCIAL,Robbery
atlanta,A347,ROBBERY-PEDESTRIAN,Robbery
atlanta,A410,AGG ASSAULT,Violence
atlanta,A420,AGG ASSAULT,Violence
atlanta,A430,AGG ASSAULT,Violence
atlanta,A440,AGG ASSAULT,Violence
atlanta,A511,BURGLARY-RESIDENCE,Burglary
atlanta,A512,BURGLARY-NONRES,Burglary
atlanta,A521,BURGLARY-RESIDENCE,Burglary
atlanta,A522,BURGLARY-NONRES,Burglary
atlanta,A531,BURGLARY-RESIDENCE,Burglary
atlanta,A532,BURGLARY-NONRES,Burglary
atlanta,A610,LARCENY-NON VEHICLE,Burglary
atlanta,A620,LARCENY-NON VEHICLE,Burglary
atlanta,A630,LARCENY-NON VEHICLE,Burglary
atlanta,A640,LARCENY-FROM VEHICLE,Burglary
atlanta,A650,LARCENY-FROM VEHICLE,Burglary
atlanta,A660,LARCENY-NON VEHICLE,Burglary
atlanta,A670,LARCENY-NON VEHICLE,Burglary
atlanta,A680,LARCENY-NON VEHICLE,Burglary
atlanta,A690,LARCENY-NON VEHICLE,Burglary
atlanta,A710,AUTO THEFT,Auto-Theft
atlanta,A720,AUTO THEFT,Auto-Theft
atlanta,A730,AUTO THEFT,Auto-Theft
boston,A111,Homicide,Killing
boston,A112,Manslaughter,Killing
boston,A121,Manslaughter,Killing
boston,A123,Manslaughter,Killing
boston,A301,Robbery,Robbery
boston,A311,Robbery,Robbery
boston,A315,Robbery,Robbery
boston,A335,Robbery,Robbery
boston,A339,Robbery,Robbery
boston,A349,Robbery,Robbery
boston,A351,Robbery,Robbery
boston,A361,Robbery,Robbery
boston,A371,Robbery,Robbery
boston,A381,Robbery,Robbery
boston,A402,Aggravated Assault,Violence
boston,A403,Aggravated Assault,Violence
boston,A404,Aggravated Assault,Violence
boston,A413,Aggravated Assault,Violence
boston,A423,Aggravated Assault,Violence
boston,A432,Aggravated Assault,Violence
boston,A511,Residential Burglary,Burglary
boston,A520,Residential Burglary,Burglary
boston,A521,Residential Burglary,Burglary
boston,A522,Residential Burglary,Burglary
boston,A527,Burglary - No Property Taken,Burglary
boston,A530,Commercial Burglary,Burglary
boston,A540,Commercial Burglary,Burglary
boston,A541,Commercial Burglary,Burglary
boston,A542,Commercial Burglary,Burglary
boston,A547,Burglary - No Property Taken,Burglary
boston,A560,Other Burglary,Burglary
boston,A561,Other Burglary,Burglary
boston,A562,Other Burglary,Burglary
boston,A611,Larceny,Burglary
boston,A612,Larceny,Burglary
boston,A613,Larceny,Burglary
boston,A614,Larceny From Motor Vehicle,Burglary
boston,A615,Larceny From Motor Vehicle,Burglary
boston,A616,Larceny,Burglary
boston,A617,Larceny,Burglary
boston,A618,Larceny,Burglary
boston,A619,Larceny,Burglary
boston,A623,Larceny,Burglary
boston,A624,Larceny From Motor Vehicle,Burglary
boston,A627,Larceny,Burglary
boston,A629,Larceny,Burglary
boston,A633,Larceny,Burglary
boston,A637,Larceny,Burglary
boston,A639,Larceny,Burglary
boston,A670,License Plate Related Incidents,Other
boston,A706,Auto Theft,Auto-Theft
boston,A714,Auto Theft,Auto-Theft
boston,A724,Auto Theft,Auto-Theft
boston,A727,Auto Theft,Auto-Theft
boston,A735,Auto Theft Recovery,Auto-Theft
boston,A770,Auto Theft,Auto-Theft
boston,A801,Simple Assault,Violence
boston,A802,Simple Assault,Violence
boston,A803,Simple Assault,Violence
boston,A804,Simple Assault,Violence
boston,A900,Arson,Arson
boston,A1001,Counterfeiting,Fraud
boston,A1002,Counterfeiting,Fraud
boston,A1102,Fraud,Fraud
boston,A1105,Fraud,Fraud
boston,A1106,Confidence Games,Fraud
boston,A1107,Fraud,Fraud
boston,A1108,Fraud,Fraud
boston,A1109,Fraud,Fraud
boston,A1201,Embezzlement,Fraud
boston,A1300,Recovered Stolen Property,Burglary
boston,A1302,Recovered Stolen Property,Burglary
boston,A1304,Recovered Stolen Property,Burglary
boston,A1402,Vandalism,Vandalism
boston,A1415,Vandalism,Vandalism
boston,A1501,Firearm Violations,Other
boston,A1502,Firearm Violations,Other
boston,A1503,Firearm Violations,Other
boston,A1504,Other,Other
boston,A1510,Firearm Violations,Other
boston,A1601,Prostitution,Other
boston,A1602,Prostitution,Other
boston,A1603,Prostitution,Other
boston,A1605,Prostitution,Other
boston,A1610,HUMAN TRAFFICKING,Other
boston,A1620,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,Other
boston,A1805,Drug Violation,Drugs
boston,A1806,Drug Violation,Drugs
boston,A1807,Drug Violation,Drugs
boston,A1810,Drug Violation,Drugs
boston,A1815,Drug Violation,Drugs
boston,A1825,Drug Violation,Drugs
boston,A1830,Drug Violation,Drugs
boston,A1831,Drug Violation,Drugs
boston,A1832,Drug Violation,Drugs
boston,A1841,Drug Violation,Drugs
boston,A1842,Drug Violation,Drugs
boston,A1843,Drug Violation,Drugs
boston,A1844,Drug Violation,Drugs
boston,A1845,Drug Violation,Drugs
boston,A1846,Drug Violation,Drugs
boston,A1847,Drug Violation,Drugs
boston,A1848,Drug Violation,Drugs
boston,A1849,Drug Violation,Drugs
boston,A1850,Drug Violation,Drugs
boston,A1863,Drug Violation,Drugs
boston,A1864,Drug Violation,Drugs
boston,A1866,Drug Violation,Drugs
boston,A1870,Drug Violation,Drugs
boston,A1874,Drug Violation,Drugs
boston,A1901,Gambling,Other
boston,A2003,Offenses Against Child / Family,Other
boston,A2004,Offenses Against Child / Family,Other
boston,A2005,Offenses Against Child / Family,Other
boston,A2006,Restraining Order Violations,Other
boston,A2007,Restraining Order Violations,Other
boston,A2010,HOME INVASION,Violence
boston,A2101,Operating Under the Influence,VAL
boston,A2102,Operating Under the Influence,VAL
boston,A2204,Liquor Violation,Other
boston,A2401,Disorderly Conduct,Other
boston,A2403,Disorderly Conduct,Other
boston,A2405,Disorderly Conduct,Other
boston,A2407,Disorderly Conduct,Other
boston,A2511,Other,Other
boston,A2604,Other,Other
boston,A2605,Offenses Against Child / Family,Other
boston,A2606,Prisoner Related Incidents,Other
boston,A2608,Offenses Against Child / Family,Other
boston,A2609,Drug Violation,Drugs
boston,A2610,Other,Other
boston,A2611,Other,Other
boston,A2612,Fire Related Reports,Other
boston,A2613,Other,Other
boston,A2616,Other,Other
boston,A2617,Drug Violation,Drugs
boston,A2618,Explosives,Other
boston,A2619,Prisoner Related Incidents,Other
boston,A2622,Other,Other
boston,A2623,Other,Other
boston,A2628,Phone Call Complaints,Verbal
boston,A2629,Harassment,Verbal
boston,A2631,Other,Other
boston,A2632,Evading Fare,Other
boston,A2636,Prisoner Related Incidents,Other
boston,A2641,Other,Other
boston,A2642,Missing Person Reported,Other
boston,A2646,Liquor Violation,Other
boston,A2647,Other,Other
boston,A2648,Bomb Hoax,Other
boston,A2657,Other,Other
boston,A2660,Other,Other
boston,A2662,Ballistics,Other
boston,A2663,Other,Other
boston,A2664,Other,Other
boston,A2670,Criminal Harassment,Verbal
boston,A2672,Biological Threat,Other
boston,A2900,Other,Other
boston,A2905,Violations,Other
boston,A2906,Violations,Other
boston,A2907,Violations,Other
boston,A2910,Violations,Other
boston,A2914,Violations,Other
boston,A3001,Medical Assistance,Medical
boston,A3002,Medical Assistance,Medical
boston,A3004,Medical Assistance,Medical
boston,A3006,Medical Assistance,Medical
boston,A3007,Medical Assistance,Medical
boston,A3008,Medical Assistance,Medical
boston,A3016,Medical Assistance,Medical
boston,A3018,Medical Assistance,Medical
boston,A3029,Prisoner Related Incidents,Other
boston,A3102,Other,Other
boston,A3106,Property Related Damage,Property
boston,A3108,Fire Related Reports,Other
boston,A3109,Police Service Incidents,Other
boston,A3110,Police Service Incidents,Other
boston,A3111,License Violation,Other
boston,A3112,Landlord/Tenant Disputes,Verbal
boston,A3114,Investigate Property,Investigate 
boston,A3115,INVESTIGATE PERSON,Investigate 
boston,A3116,Harbor Related Incidents,Other
boston,A3119,Firearm Discovery,Other
boston,A3122,Aircraft,Other
boston,A3123,Explosives,Warrant
boston,A3125,Warrant Arrests,Warrant
boston,A3130,Search Warrants,Other
boston,A3160,Fire Related Reports,Other
boston,A3170,Other,Property
boston,A3201,Property Lost,Property
boston,A3202,Property Found,Other
boston,A3203,Firearm Discovery,Other
boston,A3205,License Plate Related Incidents,Property
boston,A3207,Property Found,Property
boston,A3208,Property Lost,Verbal
boston,A3301,Verbal Disputes,Other
boston,A3302,Assembly or Gathering Violations,Other
boston,A3303,Assembly or Gathering Violations,Other
boston,A3304,Assembly or Gathering Violations,Other
boston,A3305,Assembly or Gathering Violations,Other
boston,A3402,Service,Other
boston,A3403,Police Service Incidents,Towed
boston,A3410,Towed,Other
boston,A3501,Missing Person Reported,Other
boston,A3502,Missing Person Located,Other
boston,A3503,Missing Person Located,Other
boston,A3620,Other,Other
boston,A3625,Other,Other
boston,A3801,Motor Vehicle Accident Response,M/V
boston,A3802,Motor Vehicle Accident Response,M/V
boston,A3803,Motor Vehicle Accident Response,M/V
boston,A3805,Motor Vehicle Accident Response,M/V
boston,A3807,Motor Vehicle Accident Response,M/V
boston,A3810,Motor Vehicle Accident Response,M/V
boston,A3811,Motor Vehicle Accident Response,M/V
boston,A3820,Motor Vehicle Accident Response,M/V
boston,A3821,Motor Vehicle Accident Response,M/V
boston,A3830,Motor Vehicle Accident Response,M/V
boston,A3831,Motor Vehicle Accident Response,M/V
chicago,A031A,ROBBERY,Robbery
chicago,A031B,ROBBERY,Robbery
chicago,A033A,ROBBERY,Robbery
chicago,A033B,ROBBERY,Robbery
chicago,A041A,BATTERY,Violence
chicago,A041B,BATTERY,Violence
chicago,A051A,ASSAULT,Violence
chicago,A051B,ASSAULT,Violence
chicago,A1010,ARSON,Arson
chicago,A1020,ARSON,Arson
chicago,A1025,ARSON,Arson
chicago,A1030,ARSON,Arson
chicago,A1035,ARSON,Arson
chicago,A1050,HUMAN TRAFFICKING,Other
chicago,A1055,HUMAN TRAFFICKING,Other
chicago,A1090,ARSON,Arson
chicago,A110,HOMICIDE,Killing
chicago,A1110,DECEPTIVE PRACTICE,Fraud
chicago,A1120,DECEPTIVE PRACTICE,Fraud
chicago,A1121,DECEPTIVE PRACTICE,Fraud
chicago,A1122,DECEPTIVE PRACTICE,Fraud
chicago,A1130,DECEPTIVE PRACTICE,Fraud
chicago,A1135,DECEPTIVE PRACTICE,Fraud
chicago,A1140,DECEPTIVE PRACTICE,Fraud
chicago,A1150,DECEPTIVE PRACTICE,Fraud
chicago,A1151,DECEPTIVE PRACTICE,Fraud
chicago,A1152,DECEPTIVE PRACTICE,Fraud
chicago,A1153,DECEPTIVE PRACTICE,Fraud
chicago,A1154,DECEPTIVE PRACTICE,Fraud
chicago,A1155,DECEPTIVE PRACTICE,Fraud
chicago,A1156,DECEPTIVE PRACTICE,Fraud
chicago,A1160,DECEPTIVE PRACTICE,Fraud
chicago,A1170,DECEPTIVE PRACTICE,Fraud
chicago,A1185,DECEPTIVE PRACTICE,Fraud
chicago,A1195,DECEPTIVE PRACTICE,Fraud
chicago,A1200,DECEPTIVE PRACTICE,Fraud
chicago,A1205,DECEPTIVE PRACTICE,Fraud
chicago,A1206,DECEPTIVE PRACTICE,Fraud
chicago,A1210,DECEPTIVE PRACTICE,Fraud
chicago,A1220,DECEPTIVE PRACTICE,Fraud
chicago,A1230,DECEPTIVE PRACTICE,Fraud
chicago,A1235,DECEPTIVE PRACTICE,Fraud
chicago,A1240,DECEPTIVE PRACTICE,Fraud
chicago,A1241,DECEPTIVE PRACTICE,Fraud
chicago,A1242,DECEPTIVE PRACTICE,Fraud
chicago,A1245,DECEPTIVE PRACTICE,Fraud
chicago,A1255,DECEPTIVE PRACTICE,Fraud
chicago,A1260,DECEPTIVE PRACTICE,Fraud
chicago,A1261,DECEPTIVE PRACTICE,Fraud
chicago,A1265,CRIMINAL DAMAGE,Property
chicago,A1305,CRIMINAL DAMAGE,Property
chicago,A1310,CRIMINAL DAMAGE,Property
chicago,A1320,CRIMINAL DAMAGE,Property
chicago,A1330,CRIMINAL TRESPASS,B&E
chicago,A1335,CRIMINAL TRESPASS,B&E
chicago,A1340,CRIMINAL DAMAGE,Property
chicago,A1345,CRIMINAL DAMAGE,Property
chicago,A1350,CRIMINAL TRESPASS,B&E
chicago,A1360,CRIMINAL TRESPASS,B&E
chicago,A1365,CRIMINAL TRESPASS,B&E
chicago,A1370,CRIMINAL DAMAGE,Property
chicago,A1375,CRIMINAL DAMAGE,Property
chicago,A141A,WEAPONS VIOLATION,Violation
chicago,A141B,WEAPONS VIOLATION,Violation
chicago,A141C,WEAPONS VIOLATION,Violation
chicago,A142,HOMICIDE,Killing
chicago,A142A,WEAPONS VIOLATION,Violation
chicago,A142B,WEAPONS VIOLATION,Violation
chicago,A1435,WEAPONS VIOLATION,Violation
chicago,A143A,WEAPONS VIOLATION,Violation
chicago,A143B,WEAPONS VIOLATION,Violation
chicago,A143C,WEAPONS VIOLATION,Violation
chicago,A1450,WEAPONS VIOLATION,Violation
chicago,A1460,WEAPONS VIOLATION,Violation
chicago,A1476,WEAPONS VIOLATION,Violation
chicago,A1477,WEAPONS VIOLATION,Violation
chicago,A1478,CONCEALED CARRY LICENSE VIOLATION,Violation
chicago,A1479,CONCEALED CARRY LICENSE VIOLATION,Violation
chicago,A1480,CONCEALED CARRY LICENSE VIOLATION,Violation
chicago,A1481,NON-CRIMINAL,Violation
chicago,A1505,PROSTITUTION,Other
chicago,A1506,PROSTITUTION,Other
chicago,A1507,PROSTITUTION,Other
chicago,A1510,PROSTITUTION,Other
chicago,A1512,PROSTITUTION,Other
chicago,A1513,PROSTITUTION,Other
chicago,A1515,PROSTITUTION,Other
chicago,A1520,PROSTITUTION,Other
chicago,A1525,PROSTITUTION,Other
chicago,A1526,PROSTITUTION,Other
chicago,A1530,PROSTITUTION,Other
chicago,A1535,OBSCENITY,Other
chicago,A1536,PUBLIC INDECENCY,Other
chicago,A1537,OFFENSE INVOLVING CHILDREN,Other
chicago,A1540,OBSCENITY,Other
chicago,A1541,OBSCENITY,Other
chicago,A1544,SEX OFFENSE,Other
chicago,A1549,PROSTITUTION,Other
chicago,A1562,SEX OFFENSE,Sexual
chicago,A1563,SEX OFFENSE,Sexual
chicago,A1564,SEX OFFENSE,Sexual
chicago,A1565,SEX OFFENSE,Sexual
chicago,A1566,SEX OFFENSE,Sexual
chicago,A1570,SEX OFFENSE,Sexual
chicago,A1580,SEX OFFENSE,Sexual
chicago,A1581,SEX OFFENSE,Sexual
chicago,A1582,OFFENSE INVOLVING CHILDREN,Other
chicago,A1585,SEX OFFENSE,Other
chicago,A1590,SEX OFFENSE,Other
chicago,A1651,GAMBLING,Other
chicago,A1661,GAMBLING,Other
chicago,A1670,GAMBLING,Other
chicago,A1680,GAMBLING,Other
chicago,A1682,OTHER OFFENSE,Other
chicago,A1710,OFFENSE INVOLVING CHILDREN,Other
chicago,A1715,OFFENSE INVOLVING CHILDREN,Other
chicago,A1720,OFFENSE INVOLVING CHILDREN,Other
chicago,A1725,OFFENSE INVOLVING CHILDREN,Other
chicago,A1750,OFFENSE INVOLVING CHILDREN,Other
chicago,A1751,OFFENSE INVOLVING CHILDREN,Other
chicago,A1752,OFFENSE INVOLVING CHILDREN,Other
chicago,A1753,OFFENSE INVOLVING CHILDREN,Other
chicago,A1754,OFFENSE INVOLVING CHILDREN,Other
chicago,A1755,OFFENSE INVOLVING CHILDREN,Other
chicago,A1780,OFFENSE INVOLVING CHILDREN,Other
chicago,A1790,OFFENSE INVOLVING CHILDREN,Other
chicago,A1791,OFFENSE INVOLVING CHILDREN,Other
chicago,A1792,KIDNAPPING,Kidnapping
chicago,A1811,NARCOTICS,Drugs
chicago,A1812,NARCOTICS,Drugs
chicago,A1821,NARCOTICS,Drugs
chicago,A1822,NARCOTICS,Drugs
chicago,A1840,NARCOTICS,Drugs
chicago,A1850,NARCOTICS,Drugs
chicago,A1900,OTHER NARCOTIC VIOLATION,Drugs
chicago,A2010,NARCOTICS,Drugs
chicago,A2011,NARCOTICS,Drugs
chicago,A2012,NARCOTICS,Drugs
chicago,A2013,NARCOTICS,Drugs
chicago,A2014,NARCOTICS,Drugs
chicago,A2015,NARCOTICS,Drugs
chicago,A2016,NARCOTICS,Drugs
chicago,A2017,NARCOTICS,Drugs
chicago,A2018,NARCOTICS,Drugs
chicago,A2019,NARCOTICS,Drugs
chicago,A2020,NARCOTICS,Drugs
chicago,A2021,NARCOTICS,Drugs
chicago,A2022,NARCOTICS,Drugs
chicago,A2023,NARCOTICS,Drugs
chicago,A2024,NARCOTICS,Drugs
chicago,A2025,NARCOTICS,Drugs
chicago,A2026,NARCOTICS,Drugs
chicago,A2027,NARCOTICS,Drugs
chicago,A2028,NARCOTICS,Drugs
chicago,A2029,NARCOTICS,Drugs
chicago,A2030,NARCOTICS,Drugs
chicago,A2031,NARCOTICS,Drugs
chicago,A2032,NARCOTICS,Drugs
chicago,A2033,NARCOTICS,Drugs
chicago,A2034,NARCOTICS,Drugs
chicago,A2040,NARCOTICS,Drugs
chicago,A2050,NARCOTICS,Drugs
chicago,A2060,NARCOTICS,Drugs
chicago,A2070,NARCOTICS,Drugs
chicago,A2080,NARCOTICS,Drugs
chicago,A2090,NARCOTICS,Drugs
chicago,A2091,NARCOTICS,Drugs
chicago,A2092,NARCOTICS,Drugs
chicago,A2093,NARCOTICS,Drugs
chicago,A2094,NARCOTICS,Drugs
chicago,A2095,NARCOTICS,Drugs
chicago,A2110,NARCOTICS,Drugs
chicago,A2160,NARCOTICS,Drugs
chicago,A2170,NARCOTICS,Drugs
chicago,A2210,LIQUOR LAW VIOLATION,Violation
chicago,A2220,LIQUOR LAW VIOLATION,Violation
chicago,A2230,LIQUOR LAW VIOLATION,Violation
chicago,A2240,LIQUOR LAW VIOLATION,Violation
chicago,A2250,LIQUOR LAW VIOLATION,Violation
chicago,A261,CRIM SEXUAL ASSAULT,Violence
chicago,A262,CRIM SEXUAL ASSAULT,Violence
chicago,A263,CRIM SEXUAL ASSAULT,Violence
chicago,A264,CRIM SEXUAL ASSAULT,Violence
chicago,A265,CRIM SEXUAL ASSAULT,Violence
chicago,A266,CRIM SEXUAL ASSAULT,Violence
chicago,A271,CRIM SEXUAL ASSAULT,Violence
chicago,A272,CRIM SEXUAL ASSAULT,Violence
chicago,A273,CRIM SEXUAL ASSAULT,Violence
chicago,A274,CRIM SEXUAL ASSAULT,Violence
chicago,A275,CRIM SEXUAL ASSAULT,Violence
chicago,A281,CRIM SEXUAL ASSAULT,Violence
chicago,A2820,OTHER OFFENSE,Other
chicago,A2825,OTHER OFFENSE,Other
chicago,A2826,OTHER OFFENSE,Other
chicago,A2830,OTHER OFFENSE,Other
chicago,A2840,PUBLIC PEACE VIOLATION,Verbal
chicago,A2850,PUBLIC PEACE VIOLATION,Verbal
chicago,A2851,PUBLIC PEACE VIOLATION,Verbal
chicago,A2860,PUBLIC PEACE VIOLATION,Verbal
chicago,A2870,PUBLIC PEACE VIOLATION,Verbal
chicago,A2890,PUBLIC PEACE VIOLATION,Verbal
chicago,A2895,PUBLIC PEACE VIOLATION,Verbal
chicago,A2900,WEAPONS VIOLATION,Other
chicago,A291,CRIM SEXUAL ASSAULT,Violence
